Season,Wteam,Lteam
2014,1163,1196
2014,1246,1458
2014,1163,1246
2015,1214,1264
2015,1279,1140
2015,1173,1129
2015,1352,1316
2015,1112,1411
2015,1116,1459
2015,1139,1400
2015,1153,1345
2015,1207,1186
2015,1209,1124
2015,1246,1214
2015,1301,1261
2015,1314,1217
2015,1323,1318
2015,1326,1433
2015,1412,1235
2015,1417,1374
2015,1428,1372
2015,1437,1248
2015,1462,1279
2015,1173,1344
2015,1181,1352
2015,1211,1295
2015,1234,1172
2015,1242,1308
2015,1257,1414
2015,1268,1434
2015,1277,1208
2015,1320,1461
2015,1328,1107
2015,1332,1329
2015,1361,1385
2015,1438,1125
2015,1452,1138
2015,1455,1231
2015,1458,1157
2015,1112,1326
2015,1246,1153
2015,1301,1437
2015,1314,1116
2015,1323,1139
2015,1417,1412
2015,1428,1207
2015,1462,1209
2015,1181,1361
2015,1211,1234
2015,1257,1320
2015,1277,1438
2015,1328,1173
2015,1452,1268
2015,1455,1242
2015,1458,1332
2015,1112,1462
2015,1246,1452
2015,1323,1455
2015,1458,1314
2015,1181,1428
2015,1211,1417
2015,1257,1301
2015,1277,1328
2015,1246,1323
2015,1458,1112
2015,1181,1211
2015,1277,1257
2015,1181,1277
2015,1458,1246
2015,1181,1458
2016,1195,1192
2016,1455,1435
2016,1221,1380
2016,1276,1409
2016,1114,1345
2016,1139,1403
2016,1163,1160
2016,1181,1423
2016,1211,1371
2016,1231,1151
2016,1235,1233
2016,1242,1122
2016,1246,1392
2016,1274,1138
2016,1314,1195
2016,1344,1425
2016,1428,1201
2016,1438,1214
2016,1455,1112
2016,1463,1124
2016,1218,1143
2016,1234,1396
2016,1268,1355
2016,1292,1277
2016,1320,1400
2016,1323,1276
2016,1328,1167
2016,1332,1221
2016,1372,1452
2016,1386,1153
2016,1393,1173
2016,1401,1453
2016,1433,1333
2016,1437,1421
2016,1458,1338
2016,1462,1451
2016,1181,1463
2016,1211,1428
2016,1231,1246
2016,1235,1114
2016,1242,1163
2016,1274,1455
2016,1314,1344
2016,1438,1139
2016,1268,1218
2016,1323,1372
2016,1328,1433
2016,1332,1386
2016,1393,1292
2016,1401,1320
2016,1437,1234
2016,1458,1462
2016,1242,1268
2016,1328,1401
2016,1332,1181
2016,1437,1274
2016,1314,1231
2016,1323,1458
2016,1393,1211
2016,1438,1235
2016,1328,1332
2016,1437,1242
2016,1314,1323
2016,1393,1438
2016,1314,1393
2016,1437,1328
2016,1437,1314
