,Year,WinTeam,LoseTeam,Win
352,2007,Wisconsin,Texas A&M; Corpus Chris,1
353,2007,Butler,Maryland,0
354,2007,Georgetown,Boston College,1
355,2007,North Carolina,Michigan St.,1
356,2007,Ohio St.,Xavier,1
357,2007,Pittsburgh,VCU,1
358,2007,Texas A&M;,Louisville,1
359,2007,UCLA,Indiana,1
360,2007,Vanderbilt,Washington St.,0
361,2007,Florida,Purdue,1
362,2007,Kansas,Kentucky,1
363,2007,Memphis,Nevada,1
364,2007,Oregon,Winthrop,1
365,2007,Southern Illinois,Virginia Tech,1
366,2007,Tennessee,Virginia,0
367,2007,UNLV,Wisconsin,0
368,2007,USC,Texas,0
369,2007,Kansas,Southern Illinois,1
370,2007,Memphis,Texas A&M;,1
371,2007,Ohio St.,Tennessee,1
372,2007,UCLA,Pittsburgh,1
373,2007,Florida,Butler,1
374,2007,Georgetown,Vanderbilt,1
375,2007,North Carolina,USC,1
376,2007,Oregon,UNLV,1
377,2007,Ohio St.,Memphis,1
378,2007,UCLA,Kansas,0
379,2007,Florida,Oregon,1
380,2007,Georgetown,North Carolina,0
381,2007,Florida,UCLA,1
382,2007,Ohio St.,Georgetown,1
383,2007,Florida,Ohio St.,1
384,2008,Mount St. Mary's,Coppin St.,1
385,2008,Duke,Belmont,1
386,2008,Kansas,Portland St.,1
387,2008,Kansas St.,USC,0
388,2008,Marquette,Kentucky,1
389,2008,Michigan St.,Temple,1
390,2008,Notre Dame,George Mason,1
391,2008,Pittsburgh,Oral Roberts,1
392,2008,Purdue,Baylor,1
393,2008,Stanford,Cornell,1
394,2008,Texas A&M;,BYU,0
395,2008,UCLA,Mississippi Valley St.,1
396,2008,UNLV,Kent St.,1
397,2008,Washington St.,Winthrop,1
398,2008,West Virginia,Arizona,1
399,2008,Wisconsin,Cal St. Fullerton,1
400,2008,Xavier,Georgia,1
401,2008,Arkansas,Indiana,0
402,2008,Butler,South Alabama,1
403,2008,Davidson,Gonzaga,0
404,2008,Georgetown,UMBC,1
405,2008,Louisville,Boise St.,1
406,2008,Memphis,UT Arlington,1
407,2008,Miami FL,Saint Mary's,1
408,2008,Mississippi St.,Oregon,1
409,2008,North Carolina,Mount St. Mary's,1
410,2008,Oklahoma,Saint Joseph's,1
411,2008,San Diego,Connecticut,0
412,2008,Siena,Vanderbilt,0
413,2008,Tennessee,American,1
414,2008,Texas,Austin Peay,1
415,2008,Villanova,Clemson,0
416,2008,Western Kentucky,Drake,0
417,2008,Kansas,UNLV,1
418,2008,Michigan St.,Pittsburgh,0
419,2008,Stanford,Marquette,1
420,2008,UCLA,Texas A&M;,1
421,2008,Washington St.,Notre Dame,1
422,2008,West Virginia,Duke,0
423,2008,Wisconsin,Kansas St.,1
424,2008,Xavier,Purdue,1
425,2008,Davidson,Georgetown,0
426,2008,Louisville,Oklahoma,1
427,2008,Memphis,Mississippi St.,1
428,2008,North Carolina,Arkansas,1
429,2008,Tennessee,Butler,1
430,2008,Texas,Miami FL,1
431,2008,Villanova,Siena,1
432,2008,Western Kentucky,San Diego,1
433,2008,Louisville,Tennessee,0
434,2008,North Carolina,Washington St.,1
435,2008,UCLA,Western Kentucky,1
436,2008,Xavier,West Virginia,1
437,2008,Davidson,Wisconsin,0
438,2008,Kansas,Villanova,1
439,2008,Memphis,Michigan St.,1
440,2008,Texas,Stanford,1
441,2008,North Carolina,Louisville,1
442,2008,UCLA,Xavier,1
443,2008,Kansas,Davidson,1
444,2008,Memphis,Texas,1
445,2008,Kansas,North Carolina,1
446,2008,Memphis,UCLA,1
447,2008,Kansas,Memphis,1
448,2009,Morehead St.,Alabama St.,1
449,2009,Connecticut,Chattanooga,1
450,2009,Duke,Binghamton,1
451,2009,Gonzaga,Akron,1
452,2009,LSU,Butler,1
453,2009,Maryland,California,0
454,2009,Memphis,Cal St. Northridge,1
455,2009,Michigan,Clemson,0
456,2009,North Carolina,Radford,1
457,2009,Oklahoma,Morgan St.,1
458,2009,Purdue,Northern Iowa,1
459,2009,Texas,Minnesota,1
460,2009,Texas A&M;,BYU,0
461,2009,UCLA,VCU,1
462,2009,Villanova,American,1
463,2009,Western Kentucky,Illinois,0
464,2009,Washington,Mississippi St.,1
465,2009,Arizona,Utah,0
466,2009,Arizona St.,Temple,1
467,2009,Cleveland St.,Wake Forest,0
468,2009,Dayton,West Virginia,0
469,2009,Kansas,North Dakota St.,1
470,2009,Louisville,Morehead St.,1
471,2009,Marquette,Utah St.,1
472,2009,Michigan St.,Robert Morris,1
473,2009,Missouri,Cornell,1
474,2009,Oklahoma St.,Tennessee,1
475,2009,Pittsburgh,East Tennessee St.,1
476,2009,Siena,Ohio St.,0
477,2009,Syracuse,Stephen F. Austin,1
478,2009,USC,Boston College,0
479,2009,Wisconsin,Florida St.,0
480,2009,Xavier,Portland St.,1
481,2009,Connecticut,Texas A&M;,1
482,2009,Duke,Texas,1
483,2009,Gonzaga,Western Kentucky,1
484,2009,Memphis,Maryland,1
485,2009,North Carolina,LSU,1
486,2009,Oklahoma,Michigan,1
487,2009,Purdue,Washington,0
488,2009,Villanova,UCLA,1
489,2009,Arizona,Cleveland St.,1
490,2009,Kansas,Dayton,1
491,2009,Louisville,Siena,1
492,2009,Michigan St.,USC,1
493,2009,Missouri,Marquette,1
494,2009,Pittsburgh,Oklahoma St.,1
495,2009,Syracuse,Arizona St.,1
496,2009,Xavier,Wisconsin,1
497,2009,Connecticut,Purdue,1
498,2009,Missouri,Memphis,0
499,2009,Pittsburgh,Xavier,1
500,2009,Villanova,Duke,0
501,2009,Louisville,Arizona,1
502,2009,Michigan St.,Kansas,1
503,2009,North Carolina,Gonzaga,1
504,2009,Oklahoma,Syracuse,1
505,2009,Connecticut,Missouri,1
506,2009,Villanova,Pittsburgh,0
507,2009,Michigan St.,Louisville,0
508,2009,North Carolina,Oklahoma,1
509,2009,Michigan St.,Connecticut,0
510,2009,North Carolina,Villanova,1
511,2009,North Carolina,Michigan St.,1
512,2010,Arkansas Pine Bluff,Winthrop,0
513,2010,Baylor,Sam Houston St.,1
514,2010,Butler,UTEP,1
515,2010,BYU,Florida,1
516,2010,Kansas,Lehigh,1
517,2010,Kansas St.,North Texas,1
518,2010,Kentucky,East Tennessee St.,1
519,2010,Murray St.,Vanderbilt,0
520,2010,New Mexico,Montana,1
521,2010,Northern Iowa,UNLV,0
522,2010,Ohio,Georgetown,0
523,2010,Old Dominion,Notre Dame,0
524,2010,Saint Mary's,Richmond,0
525,2010,Tennessee,San Diego St.,1
526,2010,Villanova,Robert Morris,1
527,2010,Wake Forest,Texas,0
528,2010,Washington,Marquette,0
529,2010,California,Louisville,1
530,2010,Cornell,Temple,0
531,2010,Duke,Arkansas Pine Bluff,1
532,2010,Georgia Tech,Oklahoma St.,0
533,2010,Gonzaga,Florida St.,1
534,2010,Maryland,Houston,1
535,2010,Michigan St.,New Mexico St.,1
536,2010,Missouri,Clemson,0
537,2010,Ohio St.,UC Santa Barbara,1
538,2010,Pittsburgh,Oakland,1
539,2010,Purdue,Siena,1
540,2010,Syracuse,Vermont,1
541,2010,Texas A&M;,Utah St.,1
542,2010,West Virginia,Morgan St.,1
543,2010,Wisconsin,Wofford,1
544,2010,Xavier,Minnesota,1
545,2010,Baylor,Old Dominion,1
546,2010,Butler,Murray St.,1
547,2010,Kansas St.,BYU,1
548,2010,Kentucky,Wake Forest,1
549,2010,Northern Iowa,Kansas,0
550,2010,Saint Mary's,Villanova,0
551,2010,Tennessee,Ohio,1
552,2010,Washington,New Mexico,0
553,2010,Cornell,Wisconsin,0
554,2010,Duke,California,1
555,2010,Michigan St.,Maryland,0
556,2010,Ohio St.,Georgia Tech,1
557,2010,Purdue,Texas A&M;,1
558,2010,Syracuse,Gonzaga,1
559,2010,West Virginia,Missouri,1
560,2010,Xavier,Pittsburgh,0
561,2010,Butler,Syracuse,0
562,2010,Kansas St.,Xavier,1
563,2010,Kentucky,Cornell,1
564,2010,West Virginia,Washington,1
565,2010,Baylor,Saint Mary's,1
566,2010,Duke,Purdue,1
567,2010,Michigan St.,Northern Iowa,1
568,2010,Tennessee,Ohio St.,0
569,2010,Butler,Kansas St.,0
570,2010,West Virginia,Kentucky,0
571,2010,Duke,Baylor,1
572,2010,Michigan St.,Tennessee,1
573,2010,Butler,Michigan St.,1
574,2010,Duke,West Virginia,1
575,2010,Duke,Butler,1
576,2011,Clemson,UAB,1
577,2011,UNC Asheville,Arkansas Little Rock,1
578,2011,UTSA,Alabama St.,1
579,2011,VCU,USC,1
580,2011,Butler,Old Dominion,1
581,2011,BYU,Wofford,1
582,2011,Cincinnati,Missouri,1
583,2011,Connecticut,Bucknell,1
584,2011,Florida,UC Santa Barbara,1
585,2011,Gonzaga,St. John's,0
586,2011,Kansas St.,Utah St.,1
587,2011,Kentucky,Princeton,1
588,2011,Morehead St.,Louisville,0
589,2011,Pittsburgh,UNC Asheville,1
590,2011,Richmond,Vanderbilt,0
591,2011,San Diego St.,Northern Colorado,1
592,2011,Temple,Penn St.,1
593,2011,UCLA,Michigan St.,1
594,2011,West Virginia,Clemson,1
595,2011,Wisconsin,Belmont,1
596,2011,Arizona,Memphis,1
597,2011,Duke,Hampton,1
598,2011,Florida St.,Texas A&M;,0
599,2011,George Mason,Villanova,1
600,2011,Illinois,UNLV,0
601,2011,Kansas,Boston University,1
602,2011,Marquette,Xavier,0
603,2011,Michigan,Tennessee,1
604,2011,North Carolina,LIU Brooklyn,1
605,2011,Notre Dame,Akron,1
606,2011,Ohio St.,UTSA,1
607,2011,Purdue,Saint Peter's,1
608,2011,Syracuse,Indiana St.,1
609,2011,Texas,Oakland,1
610,2011,VCU,Georgetown,0
611,2011,Washington,Georgia,1
612,2011,Butler,Pittsburgh,0
613,2011,BYU,Gonzaga,1
614,2011,Connecticut,Cincinnati,1
615,2011,Florida,UCLA,1
616,2011,Kentucky,West Virginia,1
617,2011,Richmond,Morehead St.,1
618,2011,San Diego St.,Temple,1
619,2011,Wisconsin,Kansas St.,1
620,2011,Arizona,Texas,0
621,2011,Duke,Michigan,1
622,2011,Florida St.,Notre Dame,0
623,2011,Kansas,Illinois,1
624,2011,Marquette,Syracuse,0
625,2011,North Carolina,Washington,1
626,2011,Ohio St.,George Mason,1
627,2011,VCU,Purdue,0
628,2011,Arizona,Duke,0
629,2011,Butler,Wisconsin,0
630,2011,Connecticut,San Diego St.,0
631,2011,Florida,BYU,1
632,2011,Kansas,Richmond,1
633,2011,Kentucky,Ohio St.,0
634,2011,North Carolina,Marquette,1
635,2011,VCU,Florida St.,0
636,2011,Butler,Florida,0
637,2011,Connecticut,Arizona,1
638,2011,Kentucky,North Carolina,0
639,2011,VCU,Kansas,0
640,2011,Butler,VCU,1
641,2011,Connecticut,Kentucky,1
642,2011,Connecticut,Butler,1
643,2012,BYU,Iona,1
644,2012,Western Kentucky,Mississippi Valley St.,1
645,2012,South Florida,California,0
646,2012,Vermont,Lamar,0
647,2012,Baylor,South Dakota St.,1
648,2012,Colorado,UNLV,0
649,2012,Gonzaga,West Virginia,1
650,2012,Indiana,New Mexico St.,1
651,2012,Iowa St.,Connecticut,1
652,2012,Kansas St.,Southern Miss,1
653,2012,Kentucky,Western Kentucky,1
654,2012,Louisville,Davidson,1
655,2012,Marquette,BYU,1
656,2012,Murray St.,Colorado St.,1
657,2012,New Mexico,Long Beach St.,1
658,2012,Ohio St.,Loyola MD,1
659,2012,Syracuse,UNC Asheville,1
660,2012,VCU,Wichita St.,0
661,2012,Vanderbilt,Harvard,1
662,2012,Wisconsin,Montana,1
663,2012,Cincinnati,Texas,1
664,2012,Creighton,Alabama,1
665,2012,Florida,Virginia,1
666,2012,Florida St.,St. Bonaventure,1
667,2012,Georgetown,Belmont,1
668,2012,Kansas,Detroit,1
669,2012,Lehigh,Duke,0
670,2012,Michigan St.,LIU Brooklyn,1
671,2012,North Carolina St.,San Diego St.,0
672,2012,Norfolk St.,Missouri,0
673,2012,North Carolina,Vermont,1
674,2012,Ohio,Michigan,0
675,2012,Purdue,Saint Mary's,0
676,2012,South Florida,Temple,0
677,2012,Saint Louis,Memphis,0
678,2012,Xavier,Notre Dame,0
679,2012,Baylor,Colorado,1
680,2012,Indiana,VCU,1
681,2012,Kentucky,Iowa St.,1
682,2012,Louisville,New Mexico,1
683,2012,Marquette,Murray St.,1
684,2012,Ohio St.,Gonzaga,1
685,2012,Syracuse,Kansas St.,1
686,2012,Wisconsin,Vanderbilt,1
687,2012,Cincinnati,Florida St.,0
688,2012,Florida,Norfolk St.,1
689,2012,Kansas,Purdue,1
690,2012,Michigan St.,Saint Louis,1
691,2012,North Carolina St.,Georgetown,0
692,2012,North Carolina,Creighton,1
693,2012,Ohio,South Florida,0
694,2012,Xavier,Lehigh,1
695,2012,Florida,Marquette,0
696,2012,Louisville,Michigan St.,0
697,2012,Ohio St.,Cincinnati,1
698,2012,Syracuse,Wisconsin,1
699,2012,Baylor,Xavier,1
700,2012,Kansas,North Carolina St.,1
701,2012,Kentucky,Indiana,1
702,2012,North Carolina,Ohio,1
703,2012,Louisville,Florida,1
704,2012,Ohio St.,Syracuse,0
705,2012,Kansas,North Carolina,0
706,2012,Kentucky,Baylor,1
707,2012,Kansas,Ohio St.,0
708,2012,Kentucky,Louisville,1
709,2012,Kentucky,Kansas,1
710,2013,North Carolina A&T;,Liberty,1
711,2013,Saint Mary's,Middle Tennessee,1
712,2013,James Madison,LIU Brooklyn,1
713,2013,La Salle,Boise St.,1
714,2013,Arizona,Belmont,1
715,2013,Butler,Bucknell,1
716,2013,California,UNLV,0
717,2013,Colorado St.,Missouri,1
718,2013,Gonzaga,Southern,1
719,2013,Harvard,New Mexico,0
720,2013,Louisville,North Carolina A&T;,1
721,2013,Marquette,Davidson,1
722,2013,Memphis,Saint Mary's,1
723,2013,Michigan,South Dakota St.,1
724,2013,Michigan St.,Valparaiso,1
725,2013,Oregon,Oklahoma St.,0
726,2013,Saint Louis,New Mexico St.,1
727,2013,Syracuse,Montana,1
728,2013,VCU,Akron,1
729,2013,Wichita St.,Pittsburgh,0
730,2013,Creighton,Cincinnati,1
731,2013,Duke,Albany,1
732,2013,Florida Gulf Coast,Georgetown,0
733,2013,Florida,Northwestern St.,1
734,2013,Illinois,Colorado,1
735,2013,Indiana,James Madison,1
736,2013,Iowa St.,Notre Dame,0
737,2013,Kansas,Western Kentucky,1
738,2013,La Salle,Kansas St.,0
739,2013,Miami FL,Pacific,1
740,2013,Minnesota,UCLA,0
741,2013,Mississippi,Wisconsin,0
742,2013,North Carolina,Villanova,1
743,2013,Ohio St.,Iona,1
744,2013,San Diego St.,Oklahoma,1
